 file, R, G, B, correct
output0087.jpg, 12, 18,  7,True
output0389.jpg, 16, 11, 10,True
output0503.jpg, 18, 17,  2,True
output0325.jpg,  9, 12, 16,True
output0010.jpg, 11, 12, 14,True
output0104.jpg, 16, 12,  9,True
output0478.jpg, 20, 14,  3,True
output0081.jpg,  3,  9, 25,True
output0497.jpg, 22, 10,  5,True
output0091.jpg, 12, 18,  7,True
output0356.jpg, 13,  9, 15,True
output0355.jpg, 13,  9, 15,True
output0121.jpg, 17, 13,  7,True
output0056.jpg, 28,  7,  2,True
output0092.jpg, 12, 18,  7,True
output0518.jpg, 21,  9,  7,True
output0408.jpg, 15, 13,  9,True
output0126.jpg, 13, 20,  4,True
output0129.jpg, 13, 20,  4,True
output0445.jpg, 19, 15,  3,True
output0372.jpg, 16, 11, 10,True
output0312.jpg, 11, 13, 13,True
output0435.jpg, 15, 20,  2,True
output0476.jpg, 20, 14,  3,True
output0029.jpg, 13, 14, 10,True
output0117.jpg, 17, 13,  7,True
output0210.jpg, 11, 17,  9,True
output0139.jpg, 14, 13, 10,True
output0107.jpg, 16, 12,  9,True
output0447.jpg, 19, 15,  3,True
output0266.jpg, 14, 16,  7,True
output0319.jpg, 11, 13, 13,True
output0255.jpg, 11, 20,  6,True
output0302.jpg,  9, 19,  9,True
output0414.jpg, 12, 18,  7,True
output0449.jpg, 19, 15,  3,True
output0264.jpg, 14, 16,  7,True
output0434.jpg, 15, 20,  2,True
output0383.jpg, 16, 11, 10,True
output0458.jpg, 17, 16,  4,True
output0464.jpg, 15, 18,  4,True
output0142.jpg, 14, 13, 10,True
output0351.jpg, 13,  9, 15,True
output0269.jpg, 14, 16,  7,True
output0214.jpg, 11, 13, 13,True
output0271.jpg, 15, 18,  4,True
output0400.jpg, 14, 16,  7,True
output0469.jpg, 15, 18,  4,True
output0166.jpg, 13,  9, 15,True
output0268.jpg, 14, 16,  7,True
output0352.jpg, 13,  9, 15,True
output0242.jpg, 12, 20,  5,True
output0517.jpg, 21,  9,  7,True
output0044.jpg, 28,  7,  2,True
output0401.jpg, 15, 13,  9,True
output0507.jpg, 18, 17,  2,True
output0490.jpg, 19, 16,  2,True
output0111.jpg, 16, 12,  9,True
output0359.jpg, 13,  9, 15,True
output0244.jpg, 12, 20,  5,True
output0345.jpg, 10, 16, 11,True
output0196.jpg, 15, 11, 11,True
output0181.jpg,  7, 14, 16,True
output0416.jpg, 12, 18,  7,True
output0015.jpg, 11, 12, 14,True
output0348.jpg, 10, 16, 11,True
output0186.jpg,  8, 18, 11,True
output0012.jpg, 11, 12, 14,True
output0436.jpg, 15, 20,  2,True
output0157.jpg, 13, 17,  7,True
output0158.jpg, 13, 17,  7,True
output0286.jpg, 13, 19,  5,True
output0460.jpg, 17, 16,  4,True
output0278.jpg, 15, 18,  4,True
output0336.jpg,  9, 12, 16,True
output0025.jpg,  8, 14, 15,True
output0128.jpg, 13, 20,  4,True
output0001.jpg, 37,  0,  0,True
output0112.jpg, 16, 12,  9,True
output0428.jpg, 15, 10, 12,True
output0124.jpg, 13, 20,  4,True
output0222.jpg, 10, 13, 14,True
output0193.jpg, 15, 11, 11,True
output0175.jpg,  7, 14, 16,True
output0032.jpg, 13, 14, 10,True
output0330.jpg, 10, 10, 17,True
output0047.jpg, 28,  7,  2,True
output0249.jpg, 12, 20,  5,True
output0331.jpg,  9, 12, 16,True
output0203.jpg, 11, 17,  9,True
output0442.jpg, 19, 15,  3,True
output0285.jpg, 13, 19,  5,True
output0515.jpg, 21,  9,  7,True
output0296.jpg, 13, 18,  6,True
output0079.jpg,  3,  9, 25,True
output0168.jpg, 13,  9, 15,True
output0136.jpg, 14, 13, 10,True
output0397.jpg, 14, 16,  7,True
output0367.jpg, 15, 10, 12,True
output0185.jpg,  8, 18, 11,True
output0011.jpg, 11, 12, 14,True
output0163.jpg, 13,  9, 15,True
output0216.jpg, 11, 13, 13,True
output0486.jpg, 19, 16,  2,True
output0201.jpg, 15, 11, 11,True
output0425.jpg, 15, 10, 12,True
output0419.jpg, 12, 18,  7,True
output0190.jpg,  8, 18, 11,True
output0110.jpg, 16, 12,  9,True
output0337.jpg,  9, 12, 16,True
output0033.jpg, 13, 14, 10,True
output0453.jpg, 17, 16,  4,True
output0217.jpg, 11, 13, 13,True
output0293.jpg, 13, 18,  6,True
output0237.jpg, 12, 16,  9,True
output0496.jpg, 22, 10,  5,True
output0354.jpg, 13,  9, 15,True
output0177.jpg,  7, 14, 16,True
output0059.jpg, 28,  7,  2,True
output0438.jpg, 15, 20,  2,True
output0252.jpg, 11, 20,  6,True
output0225.jpg, 10, 13, 14,True
output0470.jpg, 15, 18,  4,True
output0231.jpg, 12, 16,  9,True
output0385.jpg, 16, 11, 10,True
output0482.jpg, 19, 16,  2,True
output0328.jpg,  9, 12, 16,True
output0006.jpg, 37,  0,  0,True
output0131.jpg, 13, 20,  4,True
output0192.jpg, 15, 11, 11,True
output0335.jpg,  9, 12, 16,True
output0068.jpg, 28,  7,  2,True
output0283.jpg, 13, 19,  5,True
output0392.jpg, 14, 16,  7,True
output0116.jpg, 17, 13,  7,True
output0149.jpg, 19, 14,  4,True
output0364.jpg, 15, 10, 12,True
output0306.jpg,  9, 19,  9,True
output0508.jpg, 18, 17,  2,True
output0441.jpg, 20, 15,  2,True
output0037.jpg, 13, 14, 10,True
output0495.jpg, 22, 10,  5,True
output0429.jpg, 15, 10, 12,True
output0423.jpg, 15, 10, 12,True
output0382.jpg, 16, 11, 10,True
output0135.jpg, 14, 13, 10,True
output0391.jpg, 14, 16,  7,True
output0307.jpg,  9, 19,  9,True
output0523.jpg, 20, 13,  4,True
output0375.jpg, 16, 11, 10,True
output0492.jpg, 22, 10,  5,True
output0459.jpg, 17, 16,  4,True
output0437.jpg, 15, 20,  2,True
output0097.jpg, 14, 13, 10,True
output0170.jpg, 13,  9, 15,True
output0156.jpg, 13, 17,  7,True
output0230.jpg, 10, 13, 14,True
output0326.jpg,  9, 12, 16,True
output0267.jpg, 14, 16,  7,True
output0024.jpg,  8, 14, 15,True
output0082.jpg,  3,  9, 25,True
output0444.jpg, 19, 15,  3,True
output0427.jpg, 15, 10, 12,True
output0305.jpg,  9, 19,  9,True
output0191.jpg,  8, 18, 11,True
output0475.jpg, 20, 14,  3,True
output0322.jpg,  9, 12, 16,True
output0480.jpg, 20, 14,  3,True
output0311.jpg, 11, 13, 13,True
output0180.jpg,  7, 14, 16,True
output0430.jpg, 15, 10, 12,True
output0259.jpg, 11, 20,  6,True
output0287.jpg, 13, 19,  5,True
output0207.jpg, 11, 17,  9,True
output0333.jpg,  9, 12, 16,True
output0374.jpg, 16, 11, 10,True
output0256.jpg, 11, 20,  6,True
output0183.jpg,  8, 18, 11,True
output0073.jpg, 28,  7,  2,True
output0291.jpg, 13, 18,  6,True
output0005.jpg, 37,  0,  0,True
output0167.jpg, 13,  9, 15,True
output0338.jpg,  9, 12, 16,True
output0143.jpg, 19, 14,  4,True
output0347.jpg, 10, 16, 11,True
output0511.jpg, 18, 17,  2,True
output0219.jpg, 11, 13, 13,True
output0432.jpg, 15, 20,  2,True
output0055.jpg, 28,  7,  2,True
output0090.jpg, 12, 18,  7,True
output0403.jpg, 15, 13,  9,True
output0061.jpg, 28,  7,  2,True
output0150.jpg, 19, 14,  4,True
output0467.jpg, 15, 18,  4,True
output0007.jpg, 37,  0,  0,True
output0205.jpg, 11, 17,  9,True
output0387.jpg, 16, 11, 10,True
output0062.jpg, 28,  7,  2,True
output0487.jpg, 19, 16,  2,True
output0329.jpg,  9, 12, 16,True
output0485.jpg, 19, 16,  2,True
output0161.jpg, 13, 17,  7,True
output0294.jpg, 13, 18,  6,True
output0120.jpg, 17, 13,  7,True
output0078.jpg,  3,  9, 25,True
output0363.jpg, 15, 10, 12,True
output0209.jpg, 11, 17,  9,True
output0067.jpg, 28,  7,  2,True
output0313.jpg, 11, 13, 13,True
output0064.jpg, 28,  7,  2,True
output0288.jpg, 13, 19,  5,True
output0100.jpg, 14, 13, 10,True
output0022.jpg,  8, 14, 15,True
output0243.jpg, 12, 20,  5,True
output0132.jpg, 13, 20,  4,True
output0187.jpg,  8, 18, 11,True
output0502.jpg, 18, 17,  2,True
output0178.jpg,  7, 14, 16,True
output0098.jpg, 14, 13, 10,True
output0450.jpg, 19, 15,  3,True
output0406.jpg, 15, 13,  9,True
output0282.jpg, 13, 19,  5,True
output0257.jpg, 11, 20,  6,True
output0396.jpg, 14, 16,  7,True
output0273.jpg, 15, 18,  4,True
output0021.jpg,  8, 14, 15,True
output0054.jpg, 28,  7,  2,True
