 file, R, G, B, method
output0348.jpg, 10, 16, 11, MoG
output0141.jpg, 14, 13, 10, MoG
output0016.jpg, 11, 12, 14, MoG
output0316.jpg, 11, 13, 13, MoG
output0010.jpg, 11, 12, 14, MoG
output0343.jpg, 10, 16, 11, MoG
output0393.jpg, 14, 16,  7, MoG
output0035.jpg, 13, 14, 10, MoG
output0042.jpg, 28,  7,  2, MoG
output0234.jpg, 12, 16,  9, MoG
output0322.jpg,  9, 12, 16, MoG
output0015.jpg, 11, 12, 14, MoG
output0188.jpg,  8, 18, 11, MoG
output0021.jpg,  8, 14, 15, MoG
output0111.jpg, 16, 12,  9, MoG
output0476.jpg, 20, 14,  3, MoG
output0155.jpg, 13, 17,  7, MoG
output0324.jpg,  9, 12, 16, MoG
output0256.jpg, 11, 20,  6, MoG
output0027.jpg,  8, 14, 15, MoG
output0303.jpg,  9, 19,  9, MoG
output0265.jpg, 14, 16,  7, MoG
output0140.jpg, 14, 13, 10, MoG
output0431.jpg, 15, 20,  2, MoG
output0156.jpg, 13, 17,  7, MoG
output0148.jpg, 19, 14,  4, MoG
output0454.jpg, 17, 16,  4, MoG
output0301.jpg,  9, 19,  9, MoG
output0179.jpg,  7, 14, 16, MoG
output0254.jpg, 11, 20,  6, MoG
output0374.jpg, 16, 11, 10, MoG
output0407.jpg, 15, 13,  9, MoG
output0025.jpg,  8, 14, 15, MoG
output0062.jpg, 28,  7,  2, MoG
output0217.jpg, 11, 13, 13, MoG
output0318.jpg, 11, 13, 13, MoG
output0468.jpg, 15, 18,  4, MoG
output0460.jpg, 17, 16,  4, MoG
output0041.jpg, 28,  7,  2, MoG
output0207.jpg, 11, 17,  9, MoG
output0206.jpg, 11, 17,  9, MoG
output0415.jpg, 12, 18,  7, MoG
output0120.jpg, 17, 13,  7, MoG
output0098.jpg, 14, 13, 10, MoG
output0072.jpg, 28,  7,  2, MoG
output0506.jpg, 18, 17,  2, MoG
output0282.jpg, 13, 19,  5, MoG
output0178.jpg,  7, 14, 16, MoG
output0054.jpg, 28,  7,  2, MoG
output0008.jpg, 37,  0,  0, MoG
output0262.jpg, 14, 16,  7, MoG
output0146.jpg, 19, 14,  4, MoG
output0459.jpg, 17, 16,  4, MoG
output0419.jpg, 12, 18,  7, MoG
output0501.jpg, 22, 10,  5, MoG
output0153.jpg, 13, 17,  7, MoG
output0258.jpg, 11, 20,  6, MoG
output0498.jpg, 22, 10,  5, MoG
output0039.jpg, 28,  7,  2, MoG
output0263.jpg, 14, 16,  7, MoG
output0255.jpg, 11, 20,  6, MoG
output0350.jpg, 10, 16, 11, MoG
output0365.jpg, 15, 10, 12, MoG
output0082.jpg,  3,  9, 25, MoG
output0354.jpg, 13,  9, 15, MoG
output0462.jpg, 15, 18,  4, MoG
output0182.jpg,  8, 18, 11, MoG
output0410.jpg, 15, 13,  9, MoG
output0073.jpg, 28,  7,  2, MoG
output0074.jpg, 28,  7,  2, MoG
output0005.jpg, 37,  0,  0, MoG
output0329.jpg,  9, 12, 16, MoG
output0158.jpg, 13, 17,  7, MoG
output0224.jpg, 10, 13, 14, MoG
output0521.jpg, 21,  9,  7, MoG
output0358.jpg, 13,  9, 15, MoG
output0510.jpg, 18, 17,  2, MoG
output0517.jpg, 21,  9,  7, MoG
output0061.jpg, 28,  7,  2, MoG
output0394.jpg, 14, 16,  7, MoG
output0203.jpg, 11, 17,  9, MoG
output0382.jpg, 16, 11, 10, MoG
output0170.jpg, 13,  9, 15, MoG
output0293.jpg, 13, 18,  6, MoG
output0391.jpg, 14, 16,  7, MoG
output0139.jpg, 14, 13, 10, MoG
output0194.jpg, 15, 11, 11, MoG
output0336.jpg,  9, 12, 16, MoG
output0043.jpg, 28,  7,  2, MoG
output0428.jpg, 15, 10, 12, MoG
output0493.jpg, 22, 10,  5, MoG
output0197.jpg, 15, 11, 11, MoG
output0173.jpg,  7, 14, 16, MoG
output0349.jpg, 10, 16, 11, MoG
output0311.jpg, 11, 13, 13, MoG
output0126.jpg, 13, 20,  4, MoG
output0364.jpg, 15, 10, 12, MoG
output0370.jpg, 15, 10, 12, MoG
output0411.jpg, 12, 18,  7, MoG
output0481.jpg, 20, 14,  3, MoG
output0295.jpg, 13, 18,  6, MoG
output0437.jpg, 15, 20,  2, MoG
output0300.jpg,  9, 19,  9, MoG
output0001.jpg, 37,  0,  0, MoG
output0093.jpg, 12, 18,  7, MoG
output0274.jpg, 15, 18,  4, MoG
output0479.jpg, 20, 14,  3, MoG
output0294.jpg, 13, 18,  6, MoG
output0522.jpg, 20, 13,  4, MoG
output0421.jpg, 15, 10, 12, MoG
output0289.jpg, 13, 19,  5, MoG
output0511.jpg, 18, 17,  2, MoG
output0137.jpg, 14, 13, 10, MoG
output0404.jpg, 15, 13,  9, MoG
output0109.jpg, 16, 12,  9, MoG
output0151.jpg, 19, 14,  4, MoG
output0208.jpg, 11, 17,  9, MoG
output0321.jpg,  9, 12, 16, MoG
output0371.jpg, 16, 11, 10, MoG
output0352.jpg, 13,  9, 15, MoG
output0283.jpg, 13, 19,  5, MoG
output0225.jpg, 10, 13, 14, MoG
output0488.jpg, 19, 16,  2, MoG
output0270.jpg, 14, 16,  7, MoG
output0070.jpg, 28,  7,  2, MoG
output0366.jpg, 15, 10, 12, MoG
output0355.jpg, 13,  9, 15, MoG
output0433.jpg, 15, 20,  2, MoG
output0064.jpg, 28,  7,  2, MoG
output0442.jpg, 19, 15,  3, MoG
output0067.jpg, 28,  7,  2, MoG
output0024.jpg,  8, 14, 15, MoG
output0239.jpg, 12, 16,  9, MoG
output0296.jpg, 13, 18,  6, MoG
output0304.jpg,  9, 19,  9, MoG
output0227.jpg, 10, 13, 14, MoG
output0087.jpg, 12, 18,  7, MoG
output0037.jpg, 13, 14, 10, MoG
output0046.jpg, 28,  7,  2, MoG
output0012.jpg, 11, 12, 14, MoG
output0425.jpg, 15, 10, 12, MoG
output0494.jpg, 22, 10,  5, MoG
output0502.jpg, 18, 17,  2, MoG
output0129.jpg, 13, 20,  4, MoG
output0102.jpg, 14, 13, 10, MoG
output0466.jpg, 15, 18,  4, MoG
output0192.jpg, 15, 11, 11, MoG
output0113.jpg, 17, 13,  7, MoG
output0040.jpg, 28,  7,  2, MoG
output0412.jpg, 12, 18,  7, MoG
output0049.jpg, 28,  7,  2, MoG
output0487.jpg, 19, 16,  2, MoG
output0335.jpg,  9, 12, 16, MoG
output0071.jpg, 28,  7,  2, MoG
output0190.jpg,  8, 18, 11, MoG
output0002.jpg, 37,  0,  0, MoG
output0243.jpg, 12, 20,  5, MoG
output0483.jpg, 19, 16,  2, MoG
output0395.jpg, 14, 16,  7, MoG
output0079.jpg,  3,  9, 25, MoG
output0319.jpg, 11, 13, 13, MoG
output0408.jpg, 15, 13,  9, MoG
output0031.jpg, 13, 14, 10, MoG
output0052.jpg, 28,  7,  2, MoG
output0377.jpg, 16, 11, 10, MoG
output0272.jpg, 15, 18,  4, MoG
output0471.jpg, 15, 18,  4, MoG
output0330.jpg, 10, 10, 17, MoG
output0402.jpg, 15, 13,  9, MoG
output0200.jpg, 15, 11, 11, MoG
output0392.jpg, 14, 16,  7, MoG
output0261.jpg, 14, 16,  7, MoG
output0088.jpg, 12, 18,  7, MoG
output0199.jpg, 15, 11, 11, MoG
output0177.jpg,  7, 14, 16, MoG
output0275.jpg, 15, 18,  4, MoG
output0387.jpg, 16, 11, 10, MoG
output0085.jpg, 12, 18,  7, MoG
output0038.jpg, 14, 15,  8, MoG
output0299.jpg, 13, 18,  6, MoG
output0325.jpg,  9, 12, 16, MoG
output0357.jpg, 13,  9, 15, MoG
output0171.jpg, 13,  9, 15, MoG
output0226.jpg, 10, 13, 14, MoG
output0181.jpg,  7, 14, 16, MoG
output0314.jpg, 11, 13, 13, MoG
